"ISO_A3","country_name","is_developed","equalizer_multiplier","equalizer_allocation","formula_allocation","allocation"
"SWZ","Eswatini",FALSE,1,507614.21319797,193116.530428322,700730.743626292
"SYC","Seychelles",FALSE,1,507614.21319797,125027.941438266,632642.154636236
"SYR","Syrian Arab Republic",FALSE,1,507614.21319797,74745.6023016481,582359.815499618
"TCD","Chad",FALSE,1,507614.21319797,1153665.75698729,1661279.97018526
"TGO","Togo",FALSE,1,507614.21319797,806714.87808601,1314329.09128398
"THA","Thailand",FALSE,1,507614.21319797,534184.810837555,1041799.02403552
"TJK","Tajikistan",FALSE,1,507614.21319797,551489.97928995,1059104.19248792
"TKM","Turkmenistan",FALSE,1,507614.21319797,167589.10873186,675203.32192983
"TLS","Timor-Leste",FALSE,1,507614.21319797,442957.660229027,950571.873426996
"TON","Tonga",FALSE,1,507614.21319797,173638.377574867,681252.590772836
"TTO","Trinidad and Tobago",FALSE,1,507614.21319797,89346.7792598238,596960.992457793
"TUN","Tunisia",FALSE,1,507614.21319797,239061.180722291,746675.393920261
"TUR","Türkiye",FALSE,1,507614.21319797,355846.921905119,863461.135103088
"TUV","Tuvalu",FALSE,1,507614.21319797,86441.1293656213,594055.342563591
"TZA","United Republic of Tanzania",FALSE,1,507614.21319797,1450548.71493598,1958162.92813394
"UGA","Uganda",FALSE,1,507614.21319797,947213.062944727,1454827.2761427
"UKR","Ukraine",FALSE,1,507614.21319797,259308.456529222,766922.669727191
"URY","Uruguay",FALSE,1,507614.21319797,104196.528973434,611810.742171403
"USA","United States of America",TRUE,1,507614.21319797,0,507614.21319797
"UZB","Uzbekistan",FALSE,1,507614.21319797,315731.481753472,823345.694951442
"VCT","Saint Vincent and the Grenadines",FALSE,1,507614.21319797,80783.7660549936,588397.979252963
"VEN","Venezuela (Bolivarian Republic of)",FALSE,1,507614.21319797,1091932.9394145,1599547.15261247
"VNM","Viet Nam",FALSE,1,507614.21319797,811045.442549884,1318659.65574785
"VUT","Vanuatu",FALSE,1,507614.21319797,565278.196306327,1072892.4095043
"WSM","Samoa",FALSE,1,507614.21319797,166163.920586181,673778.13378415
"YEM","Yemen",FALSE,1,507614.21319797,178710.040032801,686324.253230771
"ZAF","South Africa",FALSE,1,507614.21319797,822260.130881416,1329874.34407939
"ZMB","Zambia",FALSE,1,507614.21319797,783815.182947993,1291429.39614596
"ZWE","Zimbabwe",FALSE,1,507614.21319797,406400.837503461,914015.05070143
