"ISO_A3","country_name","country_category","is_ldc","is_sids","equalizer_multiplier","equalizer_allocation","formula_allocation","allocation"
"SRB","Serbia","Economies in transition",FALSE,FALSE,1,649350.65,96202.35,745553
"SSD","South Sudan","Least developed countries",TRUE,FALSE,1.25,811688.31,264331.98,1076020.3
"STP","Sao Tome y Principe","Small island developing states",FALSE,TRUE,1.25,811688.31,296692.07,1108380.38
"SUR","Suriname","Small island developing states",FALSE,TRUE,1.25,811688.31,209653.99,1021342.3
"SWZ","Eswatini","Other developing countries",FALSE,FALSE,1,649350.65,174621.68,823972.33
"SYC","Seychelles","Small island developing states",FALSE,TRUE,1.25,811688.31,113053.96,924742.28
"SYR","Syrian Arab Republic","Other developing countries",FALSE,FALSE,1,649350.65,67587.18,716937.83
"TCD","Chad","Least developed countries",TRUE,FALSE,1.25,811688.31,1043178.71,1854867.02
"TGO","Togo","Least developed countries",TRUE,FALSE,1.25,811688.31,729455.46,1541143.77
"THA","Thailand","Other developing countries",FALSE,FALSE,1,649350.65,483025.71,1132376.36
"TJK","Tajikistan","Economies in transition",FALSE,FALSE,1,649350.65,498673.55,1148024.2
"TKM","Turkmenistan","Economies in transition",FALSE,FALSE,1,649350.65,151539.03,800889.68
"TLS","Timor Leste","Small island developing states",TRUE,TRUE,1.25,811688.31,400535.42,1212223.73
"TON","Tonga","Small island developing states",FALSE,TRUE,1.25,811688.31,157008.96,968697.27
"TTO","Trinidad and Tobago","Small island developing states",FALSE,TRUE,1.25,811688.31,80790,892478.31
"TUN","Tunisia","Other developing countries",FALSE,FALSE,1,649350.65,216166.19,865516.84
"TUR","Turkiye","Other developing countries",FALSE,FALSE,1,649350.65,321767.31,971117.96
"TUV","Tuvalu","Small island developing states",TRUE,TRUE,1.25,811688.31,78162.63,889850.94
"TZA","United Rep. Tanzania","Least developed countries",TRUE,FALSE,1.25,811688.31,1311629.06,2123317.37
"UGA","Uganda","Least developed countries",TRUE,FALSE,1.25,811688.31,856498.07,1668186.39
"UKR","Ukraine","Economies in transition",FALSE,FALSE,1,649350.65,234474.38,883825.03
"URY","Uruguay","Other developing countries",FALSE,FALSE,1,649350.65,94217.58,743568.23
"UZB","Uzbekistan","Economies in transition",FALSE,FALSE,1,649350.65,285493.75,934844.4
"VCT","Saint Vincent & Grenadines","Small island developing states",FALSE,TRUE,1.25,811688.31,73047.07,884735.38
"VEN","Venezuela","Other developing countries",FALSE,FALSE,1,649350.65,987358.07,1636708.72
"VNM","Viet Nam","Other developing countries",FALSE,FALSE,1,649350.65,733371.28,1382721.93
"VUT","Vanuatu","Small island developing states",FALSE,TRUE,1.25,811688.31,511141.27,1322829.58
"WSM","Samoa","Small island developing states",FALSE,TRUE,1.25,811688.31,150250.33,961938.64
"YEM","Yemen","Least developed countries",TRUE,FALSE,1.25,811688.31,161594.91,973283.22
"ZAF","South Africa","Other developing countries",FALSE,FALSE,1,649350.65,743511.94,1392862.59
"ZMB","Zambia","Least developed countries",TRUE,FALSE,1.25,811688.31,708748.88,1520437.19
"ZWE","Zimbabwe","Other developing countries",FALSE,FALSE,1,649350.65,367479.66,1016830.31
